               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.053501,            0.042246,            0.045127,             0.66145,             0.33578,             0.32509,             0.21098,            0.033711,            0.024521,            0.026378,            0.070013,           0.0033319,           0.0033319
                   1,            0.040234,            0.034513,             0.02688,             0.61413,             0.44746,             0.43914,             0.30353,            0.030112,            0.023791,            0.019212,            0.039793,           0.0064453,           0.0064453
                   2,            0.037864,            0.034561,            0.023309,             0.61652,             0.43489,              0.4534,             0.31378,            0.030974,            0.024646,            0.018337,           0.0093532,           0.0093386,           0.0093386
                   3,            0.037093,              0.0354,            0.022455,             0.66035,             0.47899,             0.49906,             0.35537,            0.029257,            0.023577,            0.016166,             0.00901,             0.00901,             0.00901
                   4,            0.035255,            0.034263,            0.020785,             0.65271,             0.50944,             0.53245,             0.38738,            0.027811,            0.022652,            0.014812,             0.00901,             0.00901,             0.00901
                   5,            0.033468,            0.033517,            0.019459,             0.66429,             0.52566,             0.55071,             0.40658,            0.026733,            0.022007,            0.013823,             0.00868,             0.00868,             0.00868
                   6,            0.032332,            0.032439,            0.018496,             0.68611,             0.53817,             0.57513,             0.43275,            0.025956,            0.021525,            0.013006,             0.00835,             0.00835,             0.00835
                   7,            0.031452,            0.031651,            0.017633,              0.6932,             0.55108,             0.58714,             0.44721,            0.025225,            0.021141,            0.012416,             0.00802,             0.00802,             0.00802
                   8,            0.030602,            0.031397,             0.01707,             0.68836,             0.56562,             0.60259,             0.46365,            0.024548,            0.020669,            0.012002,             0.00769,             0.00769,             0.00769
                   9,             0.02996,            0.030738,            0.016515,             0.70096,             0.57298,             0.60838,             0.47123,            0.024209,            0.020381,            0.011584,             0.00736,             0.00736,             0.00736
                  10,            0.029465,            0.030203,            0.015927,             0.69238,             0.58899,             0.62073,             0.48337,            0.023751,             0.02012,            0.011147,             0.00703,             0.00703,             0.00703
                  11,            0.028945,            0.029787,            0.015459,             0.70979,             0.58857,             0.63037,             0.49273,            0.023424,             0.01978,            0.010882,              0.0067,              0.0067,              0.0067
                  12,            0.028423,            0.029564,            0.015118,             0.70267,             0.59986,             0.63883,             0.50084,            0.023169,            0.019622,            0.010725,             0.00637,             0.00637,             0.00637
                  13,            0.028051,            0.028958,            0.014657,             0.70348,             0.60379,              0.6452,             0.50724,            0.022924,            0.019451,            0.010461,             0.00604,             0.00604,             0.00604
                  14,            0.027561,            0.028591,            0.014202,             0.71157,             0.60716,             0.64742,             0.51159,            0.022643,            0.019237,            0.010333,             0.00571,             0.00571,             0.00571
                  15,            0.027306,            0.028304,             0.01403,              0.7137,             0.61195,             0.65344,             0.51924,            0.022485,            0.019131,            0.010143,             0.00538,             0.00538,             0.00538
                  16,            0.026839,            0.027979,            0.013629,              0.7318,             0.61507,             0.65925,             0.52351,            0.022304,            0.018991,           0.0099502,             0.00505,             0.00505,             0.00505
                  17,            0.026384,            0.027347,            0.013168,             0.72029,             0.62918,             0.66361,             0.52872,            0.022149,            0.018868,           0.0098962,             0.00472,             0.00472,             0.00472
                  18,            0.025896,            0.026894,            0.012712,             0.73443,             0.62317,             0.66878,             0.53358,            0.022003,            0.018812,           0.0098456,             0.00439,             0.00439,             0.00439
                  19,            0.025511,            0.026496,            0.012487,             0.73959,             0.62375,             0.67207,             0.53738,            0.021877,            0.018777,           0.0097711,             0.00406,             0.00406,             0.00406
                  20,            0.025067,            0.026069,            0.012042,             0.74156,             0.62647,             0.67407,             0.54001,            0.021796,            0.018712,           0.0097334,             0.00373,             0.00373,             0.00373
                  21,            0.024764,            0.025682,            0.011874,             0.74229,             0.62522,             0.67489,             0.54163,              0.0217,            0.018675,           0.0096912,              0.0034,              0.0034,              0.0034
                  22,            0.024307,            0.025049,             0.01144,             0.74844,             0.62803,              0.6765,             0.54321,            0.021629,            0.018631,           0.0096602,             0.00307,             0.00307,             0.00307
                  23,            0.023842,            0.024787,            0.011022,             0.75532,             0.62486,             0.67798,             0.54532,            0.021572,            0.018608,            0.009647,             0.00274,             0.00274,             0.00274
                  24,            0.023477,            0.024174,            0.010747,             0.75968,              0.6251,             0.67919,             0.54675,            0.021533,            0.018608,           0.0096538,             0.00241,             0.00241,             0.00241
                  25,            0.023008,            0.023871,            0.010318,             0.75272,             0.62886,             0.68062,             0.54791,            0.021495,            0.018606,           0.0096626,             0.00208,             0.00208,             0.00208
                  26,            0.022466,            0.023238,           0.0099898,             0.75522,             0.62697,             0.68039,             0.54861,            0.021468,            0.018619,           0.0096782,             0.00175,             0.00175,             0.00175
                  27,            0.022103,            0.022814,           0.0096213,             0.75668,             0.62906,             0.68072,             0.54928,             0.02145,            0.018649,           0.0096951,             0.00142,             0.00142,             0.00142
                  28,            0.021646,            0.022383,           0.0093263,             0.75512,             0.63033,             0.68129,             0.55031,            0.021438,            0.018679,           0.0097171,             0.00109,             0.00109,             0.00109
                  29,            0.021179,            0.021999,           0.0089606,             0.76031,             0.62761,              0.6817,             0.55099,            0.021434,            0.018716,           0.0097428,             0.00076,             0.00076,             0.00076
